Agra,2016,Assault on women with intent to outrage her modesty,54,6.7
Agra,2016,Insult to the modesty of women,61,7.6
Agra,2016,Sexual harassment and molestation of women,115,0
Ahmedabad,2016,Assault on women with intent to outrage her modesty,73,2.4
Ahmedabad,2016,Insult to the modesty of women,9,0.3
Ahmedabad,2016,Sexual harassment and molestation of women,82,0
Allahabad,2016,Assault on women with intent to outrage her modesty,9,1.6
Allahabad,2016,Insult to the modesty of women,0,0
Allahabad,2016,Sexual harassment and molestation of women,9,0
Amritsar,2016,Assault on women with intent to outrage her modesty,10,1.8
Amritsar,2016,Insult to the modesty of women,4,0.7
Amritsar,2016,Sexual harassment and molestation of women,14,0
Asansol,2016,Assault on women with intent to outrage her modesty,13,2.2
Asansol,2016,Insult to the modesty of women,0,0
Asansol,2016,Sexual harassment and molestation of women,13,0
Bengaluru,2016,Assault on women with intent to outrage her modesty,308,7.6
Bengaluru,2016,Insult to the modesty of women,50,1.2
Bengaluru,2016,Sexual harassment and molestation of women,358,0
Bhopal,2016,Assault on women with intent to outrage her modesty,21,2.3
Bhopal,2016,Insult to the modesty of women,139,15.5
Bhopal,2016,Sexual harassment and molestation of women,160,0
Chennai,2016,Assault on women with intent to outrage her modesty,45,1
Chennai,2016,Insult to the modesty of women,23,0.5
Chennai,2016,Sexual harassment and molestation of women,68,0
Coimbatore,2016,Assault on women with intent to outrage her modesty,35,3.3
Coimbatore,2016,Insult to the modesty of women,1,0.1
Coimbatore,2016,Sexual harassment and molestation of women,36,0
Delhi,2016,Assault on women with intent to outrage her modesty,550,7.3
Delhi,2016,Insult to the modesty of women,73,1
Delhi,2016,Sexual harassment and molestation of women,623,0
Dhanbad,2016,Assault on women with intent to outrage her modesty,6,1.1
Dhanbad,2016,Insult to the modesty of women,0,0
Dhanbad,2016,Sexual harassment and molestation of women,6,0
Faridabad,2016,Assault on women with intent to outrage her modesty,27,4.1
Faridabad,2016,Insult to the modesty of women,78,11.9
Faridabad,2016,Sexual harassment and molestation of women,105,0
Hyderabad,2016,Assault on women with intent to outrage her modesty,171,4.5
Hyderabad,2016,Insult to the modesty of women,60,1.6
Hyderabad,2016,Sexual harassment and molestation of women,231,0
India,2016,Assault on women with intent to outrage her modesty,40613,6.9
India,2016,Insult to the modesty of women,9961,1.7
India,2016,Sexual harassment and molestation of women,50574,0
Indore,2016,Assault on women with intent to outrage her modesty,211,20.3
Indore,2016,Insult to the modesty of women,47,4.5
Indore,2016,Sexual harassment and molestation of women,258,0
Jabalpur,2016,Assault on women with intent to outrage her modesty,114,18.9
Jabalpur,2016,Insult to the modesty of women,49,8.1
Jabalpur,2016,Sexual harassment and molestation of women,163,0
Jaipur,2016,Assault on women with intent to outrage her modesty,115,7.9
Jaipur,2016,Insult to the modesty of women,0,0
Jaipur,2016,Sexual harassment and molestation of women,115,0
Jamshedpur,2016,Assault on women with intent to outrage her modesty,6,0.9
Jamshedpur,2016,Insult to the modesty of women,1,0.2
Jamshedpur,2016,Sexual harassment and molestation of women,7,0
Kanpur,2016,Assault on women with intent to outrage her modesty,118,8.8
Kanpur,2016,Insult to the modesty of women,7,0.5
Kanpur,2016,Sexual harassment and molestation of women,125,0
Kochi,2016,Assault on women with intent to outrage her modesty,67,6.2
Kochi,2016,Insult to the modesty of women,23,2.1
Kochi,2016,Sexual harassment and molestation of women,90,0
Kolkata,2016,Assault on women with intent to outrage her modesty,226,3.3
Kolkata,2016,Insult to the modesty of women,133,2
Kolkata,2016,Sexual harassment and molestation of women,359,0
Lucknow,2016,Assault on women with intent to outrage her modesty,97,7
Lucknow,2016,Insult to the modesty of women,0,0
Lucknow,2016,Sexual harassment and molestation of women,97,0
Ludhiana,2016,Assault on women with intent to outrage her modesty,27,3.7
Ludhiana,2016,Insult to the modesty of women,11,1.5
Ludhiana,2016,Sexual harassment and molestation of women,38,0
Madurai,2016,Assault on women with intent to outrage her modesty,12,1.6
Madurai,2016,Insult to the modesty of women,20,2.7
Madurai,2016,Sexual harassment and molestation of women,32,0
Meerut,2016,Assault on women with intent to outrage her modesty,34,5.1
Meerut,2016,Insult to the modesty of women,0,0
Meerut,2016,Sexual harassment and molestation of women,34,0
Mumbai,2016,Assault on women with intent to outrage her modesty,475,5.6
Mumbai,2016,Insult to the modesty of women,138,1.6
Mumbai,2016,Sexual harassment and molestation of women,613,0
Nagpur,2016,Assault on women with intent to outrage her modesty,87,7.1
Nagpur,2016,Insult to the modesty of women,48,3.9
Nagpur,2016,Sexual harassment and molestation of women,135,0
Nasik,2016,Assault on women with intent to outrage her modesty,46,6.2
Nasik,2016,Insult to the modesty of women,18,2.4
Nasik,2016,Sexual harassment and molestation of women,64,0
Patna,2016,Assault on women with intent to outrage her modesty,4,0.4
Patna,2016,Insult to the modesty of women,3,0.3
Patna,2016,Sexual harassment and molestation of women,7,0
Pune,2016,Assault on women with intent to outrage her modesty,78,3.3
Pune,2016,Insult to the modesty of women,91,3.8
Pune,2016,Sexual harassment and molestation of women,169,0
Rajkot,2016,Assault on women with intent to outrage her modesty,14,2.1
Rajkot,2016,Insult to the modesty of women,7,1.1
Rajkot,2016,Sexual harassment and molestation of women,21,0
Surat,2016,Assault on women with intent to outrage her modesty,24,1.2
Surat,2016,Insult to the modesty of women,1,0.1
Surat,2016,Sexual harassment and molestation of women,25,0
Vadodara,2016,Assault on women with intent to outrage her modesty,18,2.1
Vadodara,2016,Insult to the modesty of women,0,0
Vadodara,2016,Sexual harassment and molestation of women,18,0
Varanasi,2016,Assault on women with intent to outrage her modesty,3,0.4
Varanasi,2016,Insult to the modesty of women,0,0
Varanasi,2016,Sexual harassment and molestation of women,3,0
Vijayawada,2016,Assault on women with intent to outrage her modesty,172,23.2
Vijayawada,2016,Insult to the modesty of women,219,29.6
Vijayawada,2016,Sexual harassment and molestation of women,391,0
Vishakhapatnam,2016,Assault on women with intent to outrage her modesty,59,6.9
Vishakhapatnam,2016,Insult to the modesty of women,52,6.1
